SW0_State,Temp,PID.SP,PID.ERR,PID.KP,PID.KI,PID.KD,PID.OUT
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
False,125.0,125.0,0.0,10.0,1.0,0.10000000149011612,99.7570571899414
True,75.30000305175781,125.0,49.69999694824219,10.0,1.0,0.10000000149011612,100.0
True,75.30000305175781,125.0,49.69999694824219,10.0,1.0,0.10000000149011612,100.0
True,75.30000305175781,125.0,49.69999694824219,10.0,1.0,0.10000000149011612,100.0
True,75.30000305175781,125.0,49.69999694824219,10.0,1.0,0.10000000149011612,100.0
True,75.30000305175781,125.0,49.69999694824219,10.0,1.0,0.10000000149011612,100.0
True,75.5,125.0,49.5,10.0,1.0,0.10000000149011612,100.0
True,75.5999984741211,125.0,49.400001525878906,10.0,1.0,0.10000000149011612,100.0
True,75.5999984741211,125.0,49.400001525878906,10.0,1.0,0.10000000149011612,100.0
True,75.69999694824219,125.0,49.30000305175781,10.0,1.0,0.10000000149011612,100.0
True,75.9000015258789,125.0,49.099998474121094,10.0,1.0,0.10000000149011612,100.0
True,75.9000015258789,125.0,49.099998474121094,10.0,1.0,0.10000000149011612,100.0
True,76.0,125.0,49.0,10.0,1.0,0.10000000149011612,100.0
True,76.19999694824219,125.0,48.80000305175781,10.0,1.0,0.10000000149011612,100.0
True,76.30000305175781,125.0,48.69999694824219,10.0,1.0,0.10000000149011612,100.0
True,76.4000015258789,125.0,48.599998474121094,10.0,1.0,0.10000000149011612,100.0
True,76.5,125.0,48.5,10.0,1.0,0.10000000149011612,100.0
True,76.5999984741211,125.0,48.400001525878906,10.0,1.0,0.10000000149011612,100.0
True,76.69999694824219,125.0,48.30000305175781,10.0,1.0,0.10000000149011612,100.0
True,76.9000015258789,125.0,48.099998474121094,10.0,1.0,0.10000000149011612,100.0
